Reference,Area ,Flow
Barrera & Cruz-Mejia (2014),12,1000
Ramos et al. (2014),7000,300
Zhalencian et al. (2016),300000,20000
Govindan et al. (2017),200,40
Zhao & Ke (2017),2602,1600
Liao et al. (2020),150,75000
Lv et al. (2020),300,1000000
Nowakowski et al. (2020),33,5
Santander et al. (2020),8.68,0.36
Yu et al. (2020),250,17300
Kreiger et al. (2014),860,20
Wang et al. (2021),300,5000
Yu & Tong (2021),340,20000
Parast et al. (2021),162,62
Akkad et al. (2022),2,1.26
Govindan et al. (2022),200,480
Li et al. (2022),7.5,10
Mayanti & Helo (2022),6000,137
Oteng et al. (2022),50000,50
Rentizelas A. et al. (2022),500000,50000
Rentizelas & Trivyza N (2022),30000,150
Sazvar et al. (2022),10,0.1
Zhou et al. (2022),2.5,50
Sung et al. (2023),500000,30000
